datetime,solarenergy
1/1/2018,9
1/2/2018,9
1/3/2018,5
1/4/2018,2
1/5/2018,8
1/6/2018,9
1/7/2018,8
1/8/2018,6
1/9/2018,9
1/10/2018,9
1/11/2018,4
1/12/2018,10
1/13/2018,3
1/14/2018,3
1/15/2018,6
1/16/2018,3
1/17/2018,7
1/18/2018,8
1/19/2018,9
1/20/2018,10
1/21/2018,11
1/22/2018,5
1/23/2018,10
1/24/2018,9
1/25/2018,10
1/26/2018,11
1/27/2018,12
1/28/2018,12
1/29/2018,10
1/30/2018,11
1/31/2018,8
2/1/2018,11
2/2/2018,8
2/3/2018,6
2/4/2018,13
2/5/2018,12
2/6/2018,13
2/7/2018,13
2/8/2018,14
2/9/2018,14
2/10/2018,11
2/11/2018,13
2/12/2018,12
2/13/2018,7
2/14/2018,4
2/15/2018,6
2/16/2018,11
2/17/2018,15
2/18/2018,15
2/19/2018,14
2/20/2018,11
2/21/2018,10
2/22/2018,13
2/23/2018,14
2/24/2018,12
2/25/2018,14
2/26/2018,6
2/27/2018,15
2/28/2018,12
3/1/2018,6
3/2/2018,14
3/3/2018,17
3/4/2018,7
3/5/2018,17
3/6/2018,8
3/7/2018,17
3/8/2018,14
3/9/2018,16
3/10/2018,12
3/11/2018,9
3/12/2018,7
3/13/2018,7
3/14/2018,13
3/15/2018,19
3/16/2018,21
3/17/2018,21
3/18/2018,12
3/19/2018,15
3/20/2018,19
3/21/2018,18
3/22/2018,15
3/23/2018,20
3/24/2018,13
3/25/2018,13
3/26/2018,6
3/27/2018,14
3/28/2018,17
3/29/2018,17
3/30/2018,15
3/31/2018,18
4/1/2018,6
4/2/2018,14
4/3/2018,18
4/4/2018,21
4/5/2018,23
4/6/2018,16
4/7/2018,9
4/8/2018,22
4/9/2018,24
4/10/2018,20
4/11/2018,26
4/12/2018,26
4/13/2018,26
4/14/2018,19
4/15/2018,14
4/16/2018,21
4/17/2018,8
4/18/2018,22
4/19/2018,21
4/20/2018,26
4/21/2018,27
4/22/2018,22
4/23/2018,20
4/24/2018,14
4/25/2018,24
4/26/2018,27
4/27/2018,28
4/28/2018,29
4/29/2018,27
4/30/2018,21
5/1/2018,12
5/2/2018,29
5/3/2018,28
5/4/2018,28
5/5/2018,29
5/6/2018,29
5/7/2018,30
5/8/2018,29
5/9/2018,29
5/10/2018,20
5/11/2018,25
5/12/2018,11
5/13/2018,13
5/14/2018,15
5/15/2018,25
5/16/2018,14
5/17/2018,24
5/18/2018,28
5/19/2018,26
5/20/2018,14
5/21/2018,18
5/22/2018,18
5/23/2018,29
5/24/2018,32
5/25/2018,31
5/26/2018,31
5/27/2018,26
5/28/2018,31
5/29/2018,31
5/30/2018,28
5/31/2018,30
6/1/2018,29
6/2/2018,15
6/3/2018,21
6/4/2018,24
6/5/2018,30
6/6/2018,27
6/7/2018,29
6/8/2018,28
6/9/2018,28
6/10/2018,30
6/11/2018,31
6/12/2018,31
6/13/2018,30
6/14/2018,23
6/15/2018,23
6/16/2018,31
6/17/2018,32
6/18/2018,31
6/19/2018,30
6/20/2018,27
6/21/2018,32
6/22/2018,32
6/23/2018,30
6/24/2018,28
6/25/2018,31
6/26/2018,31
6/27/2018,32
6/28/2018,31
6/29/2018,31
6/30/2018,30
7/1/2018,31
7/2/2018,31
7/3/2018,31
7/4/2018,30
7/5/2018,30
7/6/2018,31
7/7/2018,31
7/8/2018,31
7/9/2018,31
7/10/2018,31
7/11/2018,29
7/12/2018,31
7/13/2018,30
7/14/2018,24
7/15/2018,30
7/16/2018,31
7/17/2018,31
7/18/2018,31
7/19/2018,30
7/20/2018,30
7/21/2018,31
7/22/2018,30
7/23/2018,28
7/24/2018,31
