datetime,solarenergy
1/1/2018,9
1/2/2018,9
1/3/2018,11
1/4/2018,8
1/5/2018,10
1/6/2018,10
1/7/2018,11
1/8/2018,11
1/9/2018,11
1/10/2018,12
1/11/2018,8
1/12/2018,10
1/13/2018,12
1/14/2018,7
1/15/2018,7
1/16/2018,9
1/17/2018,11
1/18/2018,11
1/19/2018,11
1/20/2018,11
1/21/2018,13
1/22/2018,10
1/23/2018,12
1/24/2018,10
1/25/2018,9
1/26/2018,10
1/27/2018,7
1/28/2018,13
1/29/2018,13
1/30/2018,12
1/31/2018,13
2/1/2018,14
2/2/2018,15
2/3/2018,13
2/4/2018,7
2/5/2018,13
2/6/2018,14
2/7/2018,15
2/8/2018,15
2/9/2018,11
2/10/2018,14
2/11/2018,12
2/12/2018,7
2/13/2018,9
2/14/2018,16
2/15/2018,15
2/16/2018,16
2/17/2018,14
2/18/2018,7
2/19/2018,16
2/20/2018,14
2/21/2018,15
2/22/2018,8
2/23/2018,15
2/24/2018,12
2/25/2018,14
2/26/2018,14
2/27/2018,16
2/28/2018,16
3/1/2018,17
3/2/2018,13
3/3/2018,16
3/4/2018,15
3/5/2018,15
3/6/2018,13
3/7/2018,14
3/8/2018,10
3/9/2018,11
3/10/2018,22
3/11/2018,19
3/12/2018,18
3/13/2018,22
3/14/2018,13
3/15/2018,17
3/16/2018,14
3/17/2018,18
3/18/2018,23
3/19/2018,22
3/20/2018,20
3/21/2018,21
3/22/2018,23
3/23/2018,16
3/24/2018,17
3/25/2018,24
3/26/2018,24
3/27/2018,23
3/28/2018,15
3/29/2018,19
3/30/2018,16
3/31/2018,24
4/1/2018,26
4/2/2018,26
4/3/2018,20
4/4/2018,27
4/5/2018,26
4/6/2018,26
4/7/2018,26
4/8/2018,26
4/9/2018,21
4/10/2018,19
4/11/2018,10
4/12/2018,16
4/13/2018,11
4/14/2018,25
4/15/2018,27
4/16/2018,28
4/17/2018,28
4/18/2018,28
4/19/2018,28
4/20/2018,17
4/21/2018,11
4/22/2018,21
4/23/2018,29
4/24/2018,29
4/25/2018,29
4/26/2018,29
4/27/2018,12
4/28/2018,19
4/29/2018,21
4/30/2018,27
5/1/2018,29
5/2/2018,25
5/3/2018,21
5/4/2018,12
5/5/2018,24
5/6/2018,22
5/7/2018,18
5/8/2018,21
5/9/2018,22
5/10/2018,18
5/11/2018,19
5/12/2018,17
5/13/2018,25
5/14/2018,21
5/15/2018,19
5/16/2018,30
5/17/2018,31
5/18/2018,31
5/19/2018,24
5/20/2018,21
5/21/2018,19
5/22/2018,12
5/23/2018,18
5/24/2018,14
5/25/2018,24
5/26/2018,24
5/27/2018,29
5/28/2018,27
5/29/2018,15
5/30/2018,22
5/31/2018,19
6/1/2018,29
6/2/2018,30
6/3/2018,25
6/4/2018,30
6/5/2018,28
6/6/2018,32
6/7/2018,33
6/8/2018,32
6/9/2018,33
6/10/2018,32
6/11/2018,33
6/12/2018,29
6/13/2018,28
6/14/2018,28
6/15/2018,22
6/16/2018,27
6/17/2018,32
6/18/2018,33
6/19/2018,31
6/20/2018,33
6/21/2018,31
6/22/2018,31
6/23/2018,32
6/24/2018,32
6/25/2018,32
6/26/2018,33
6/27/2018,33
6/28/2018,32
6/29/2018,32
6/30/2018,33
7/1/2018,33
7/2/2018,32
7/3/2018,32
7/4/2018,31
7/5/2018,32
7/6/2018,32
7/7/2018,32
7/8/2018,32
7/9/2018,32
7/10/2018,32
7/11/2018,32
7/12/2018,31
7/13/2018,29
7/14/2018,30
7/15/2018,30
7/16/2018,30
7/17/2018,30
7/18/2018,32
7/19/2018,33
7/20/2018,33
7/21/2018,32
7/22/2018,30
7/23/2018,30
7/24/2018,30
