datetime,solarenergy
12/21/2018,15
12/22/2018,15
12/23/2018,15
12/24/2018,13
12/25/2018,14
12/26/2018,16
12/27/2018,16
12/28/2018,16
12/29/2018,15
12/30/2018,15
12/31/2018,14
1/1/2019,14
1/2/2019,15
1/3/2019,14
1/4/2019,13
1/5/2019,13
1/6/2019,14
1/7/2019,15
1/8/2019,14
1/9/2019,14
1/10/2019,14
1/11/2019,14
1/12/2019,13
1/13/2019,15
1/14/2019,16
1/15/2019,16
1/16/2019,15
1/17/2019,15
1/18/2019,15
1/19/2019,14
1/20/2019,13
1/21/2019,14
1/22/2019,15
1/23/2019,17
1/24/2019,17
1/25/2019,17
1/26/2019,16
1/27/2019,14
1/28/2019,17
1/29/2019,18
1/30/2019,16
1/31/2019,17
2/1/2019,17
2/2/2019,18
2/3/2019,18
2/4/2019,18
2/5/2019,18
2/6/2019,19
2/7/2019,19
2/8/2019,19
2/9/2019,19
2/10/2019,19
2/11/2019,19
2/12/2019,16
2/13/2019,18
2/14/2019,19
2/15/2019,20
2/16/2019,20
2/17/2019,20
2/18/2019,19
2/19/2019,16
2/20/2019,17
2/21/2019,20
2/22/2019,19
2/23/2019,10
2/24/2019,21
2/25/2019,21
2/26/2019,19
2/27/2019,22
2/28/2019,21
3/1/2019,21
3/2/2019,19
3/3/2019,20
3/4/2019,21
3/5/2019,22
3/6/2019,23
3/7/2019,21
3/8/2019,22
3/9/2019,21
3/10/2019,16
3/11/2019,23
3/12/2019,18
3/13/2019,22
3/14/2019,23
3/15/2019,24
3/16/2019,23
3/17/2019,24
3/18/2019,18
3/19/2019,25
3/20/2019,24
3/21/2019,23
3/22/2019,21
3/23/2019,23
3/24/2019,15
3/25/2019,24
3/26/2019,23
3/27/2019,18
3/28/2019,24
3/29/2019,21
3/30/2019,26
3/31/2019,25
4/1/2019,25
4/2/2019,25
4/3/2019,25
4/4/2019,25
4/5/2019,26
4/6/2019,20
4/7/2019,25
4/8/2019,26
4/9/2019,20
4/10/2019,25
4/11/2019,20
4/12/2019,20
4/13/2019,23
4/14/2019,19
4/15/2019,14
4/16/2019,26
4/17/2019,27
4/18/2019,27
4/19/2019,27
4/20/2019,27
4/21/2019,27
4/22/2019,27
4/23/2019,26
4/24/2019,25
4/25/2019,27
4/26/2019,27
4/27/2019,28
4/28/2019,28
4/29/2019,27
4/30/2019,27
5/1/2019,27
5/2/2019,27
5/3/2019,28
5/4/2019,27
5/5/2019,28
5/6/2019,27
5/7/2019,26
5/8/2019,25
5/9/2019,24
5/10/2019,25
5/11/2019,24
5/12/2019,27
5/13/2019,27
5/14/2019,25
5/15/2019,26
5/16/2019,22
5/17/2019,19
5/18/2019,23
5/19/2019,14
5/20/2019,23
5/21/2019,25
5/22/2019,22
5/23/2019,25
5/24/2019,26
5/25/2019,29
5/26/2019,29
5/27/2019,28
5/28/2019,28
5/29/2019,27
5/30/2019,27
5/31/2019,25
6/1/2019,24
6/2/2019,26
6/3/2019,24
6/4/2019,16
6/5/2019,22
6/6/2019,27
6/7/2019,28
6/8/2019,27
6/9/2019,28
6/10/2019,27
6/11/2019,25
6/12/2019,25
6/13/2019,23
6/14/2019,27
6/15/2019,29
6/16/2019,28
6/17/2019,29
6/18/2019,28
6/19/2019,28
6/20/2019,27
6/21/2019,27
6/22/2019,28
6/23/2019,27
6/24/2019,27
6/25/2019,26
6/26/2019,28
6/27/2019,27
6/28/2019,27
6/29/2019,27
6/30/2019,24
7/1/2019,22
7/2/2019,26
7/3/2019,28
7/4/2019,27
7/5/2019,26
7/6/2019,26
7/7/2019,25
7/8/2019,27
7/9/2019,26
7/10/2019,27
7/11/2019,27
7/12/2019,27
7/13/2019,26
7/14/2019,24
7/15/2019,25
7/16/2019,25
7/17/2019,25
7/18/2019,25
7/19/2019,24
7/20/2019,27
7/21/2019,24
7/22/2019,21
7/23/2019,20
7/24/2019,24
7/25/2019,22
7/26/2019,19
7/27/2019,22
7/28/2019,20
7/29/2019,10
7/30/2019,21
7/31/2019,21
8/1/2019,20
8/2/2019,24
8/3/2019,21
8/4/2019,17
8/5/2019,24
8/6/2019,26
8/7/2019,26
8/8/2019,22
8/9/2019,12
8/10/2019,15
8/11/2019,18
8/12/2019,23
8/13/2019,26
8/14/2019,25
8/15/2019,20
8/16/2019,25
8/17/2019,22
8/18/2019,26
8/19/2019,26
8/20/2019,27
8/21/2019,27
8/22/2019,27
8/23/2019,27
8/24/2019,26
8/25/2019,26
8/26/2019,25
8/27/2019,23
8/28/2019,21
8/29/2019,14
8/30/2019,15
8/31/2019,21
9/1/2019,10
9/2/2019,17
9/3/2019,9
9/4/2019,15
9/5/2019,19
9/6/2019,19
9/7/2019,19
9/8/2019,18
9/9/2019,24
9/10/2019,20
9/11/2019,16
9/12/2019,23
9/13/2019,23
9/14/2019,24
9/15/2019,22
9/16/2019,23
9/17/2019,25
9/18/2019,24
9/19/2019,25
9/20/2019,24
9/21/2019,23
9/22/2019,21
9/23/2019,16
9/24/2019,22
9/25/2019,21
9/26/2019,18
9/27/2019,11
9/28/2019,22
9/29/2019,18
9/30/2019,16
10/1/2019,12
10/2/2019,9
10/3/2019,7
10/4/2019,11
10/5/2019,15
10/6/2019,14
10/7/2019,22
10/8/2019,23
10/9/2019,22
10/10/2019,22
10/11/2019,21
10/12/2019,22
10/13/2019,20
10/14/2019,21
10/15/2019,21
10/16/2019,15
10/17/2019,21
10/18/2019,20
10/19/2019,19
10/20/2019,19
10/21/2019,19
10/22/2019,20
10/23/2019,19
10/24/2019,19
10/25/2019,18
10/26/2019,18
10/27/2019,19
10/28/2019,18
10/29/2019,14
10/30/2019,16
10/31/2019,14
11/1/2019,16
11/2/2019,15
11/3/2019,18
11/4/2019,19
11/5/2019,18
11/6/2019,17
11/7/2019,19
11/8/2019,19
11/9/2019,18
11/10/2019,16
11/11/2019,18
11/12/2019,12
11/13/2019,12
11/14/2019,12
11/15/2019,10
11/16/2019,16
11/17/2019,14
11/18/2019,14
11/19/2019,17
11/20/2019,17
11/21/2019,16
11/22/2019,13
11/23/2019,14
11/24/2019,14
11/25/2019,15
11/26/2019,15
11/27/2019,15
11/28/2019,16
11/29/2019,16
11/30/2019,16
12/1/2019,16
12/2/2019,17
12/3/2019,17
12/4/2019,15
12/5/2019,14
12/6/2019,16
12/7/2019,16
12/8/2019,15
12/9/2019,15
12/10/2019,15
12/11/2019,14
12/12/2019,12
12/13/2019,15
12/14/2019,15
12/15/2019,14
12/16/2019,14
12/17/2019,16
12/18/2019,15
12/19/2019,13
12/20/2019,15
12/21/2019,15
12/22/2019,16
12/23/2019,16
12/24/2019,16
12/25/2019,16
12/26/2019,16
12/27/2019,16
12/28/2019,15
12/29/2019,14
12/30/2019,15
12/31/2019,15
1/1/2020,14
1/2/2020,14
1/3/2020,13
1/4/2020,15
1/5/2020,14
1/6/2020,14
1/7/2020,12
1/8/2020,17
1/9/2020,17
1/10/2020,16
1/11/2020,16
1/12/2020,15
1/13/2020,17
1/14/2020,17
1/15/2020,17
1/16/2020,17
1/17/2020,17
1/18/2020,17
1/19/2020,17
1/20/2020,17
1/21/2020,15
1/22/2020,16
1/23/2020,17
1/24/2020,17
1/25/2020,15
1/26/2020,17
1/27/2020,17
1/28/2020,18
1/29/2020,19
1/30/2020,18
1/31/2020,18
2/1/2020,18
2/2/2020,19
2/3/2020,18
2/4/2020,18
2/5/2020,18
2/6/2020,19
2/7/2020,18
2/8/2020,20
2/9/2020,20
2/10/2020,20
2/11/2020,19
2/12/2020,18
2/13/2020,19
2/14/2020,19
2/15/2020,21
2/16/2020,21
2/17/2020,21
2/18/2020,20
2/19/2020,17
